日期,行业销量_挖,行业销量_装,行业销量_装M-1,行业销量_装M-2
2010/1,7073,9008,,
2010/2,7544,6684,9008,
2010/3,27108,24901,6684,9008
2010/4,19012,25334,24901,6684
2010/5,13965,18502,25334,24901
2010/6,9995,14088,18502,25334
2010/7,7691,12908,14088,18502
2010/8,7592,12637,12908,14088
2010/9,10034,14143,12637,12908
2010/10,10674,12302,14143,12637
2010/11,12598,12438,12302,14143
2010/12,11261,15020,12438,12302
2011/1,10611,13555,15020,12438
2011/2,19970,14736,13555,15020
2011/3,42362,36569,14736,13555
2011/4,25806,25636,36569,14736
2011/5,13297,20864,25636,36569
2011/6,9388,15872,20864,25636
2011/7,7050,13005,15872,20864
2011/8,7147,13301,13005,15872
2011/9,8048,14742,13301,13005
2011/10,8210,14194,14742,13301
2011/11,8107,13707,14194,14742
2011/12,7726,15720,13707,14194
2012/1,4779,5383,15720,13707
2012/2,14444,14682,5383,15720
2012/3,21314,21738,14682,5383
2012/4,13543,18313,21738,14682
2012/5,9498,12890,18313,21738
2012/6,7596,11642,12890,18313
2012/7,5259,8964,11642,12890
2012/8,4768,7926,8964,11642
2012/9,5050,8301,7926,8964
2012/10,5446,8324,8301,7926
2012/11,5850,8988,8324,8301
2012/12,6320,9358,8988,8324
2013/1,4212,6638,9358,8988
2013/2,5448,6168,6638,9358
2013/3,20571,20774,6168,6638
2013/4,15543,18709,20774,6168
2013/5,10346,15135,18709,20774
2013/6,7635,13025,15135,18709
2013/7,5662,9542,13025,15135
2013/8,5646,9348,9542,13025
2013/9,6331,10376,9348,9542
2013/10,6871,9949,10376,9348
2013/11,7536,11163,9949,10376
2013/12,7807,13558,11163,9949
2014/1,4047,6668,13558,11163
2014/2,8913,8947,6668,13558
2014/3,18949,20296,8947,6668
2014/4,12262,15974,20296,8947
2014/5,7256,12465,15974,20296
2014/6,5701,11383,12465,15974
2014/7,4168,8812,11383,12465
2014/8,3964,8152,8812,11383
2014/9,4106,7702,8152,8812
2014/10,4460,7597,7702,8152
2014/11,4641,6522,7597,7702
2014/12,4866,6627,6522,7597
2015/1,3419,4566,6627,6522
2015/2,2385,2821,4566,6627
2015/3,11862,9386,2821,4566
2015/4,8743,7286,9386,2821
2015/5,5067,5850,7286,9386
2015/6,3504,4980,5850,7286
2015/7,2575,3656,4980,5850
2015/8,2493,3619,3656,4980
2015/9,2653,3780,3619,3656
2015/10,2952,3588,3780,3619
2015/11,3214,3735,3588,3780
2015/12,3401,3715,3735,3588
2016/1,2459,2805,3715,3735
2016/2,3157,2526,2805,3715
2016/3,12904,13065,2526,2805
2016/4,6404,4292,13065,2526
2016/5,4735,3823,4292,13065
2016/6,3616,3453,3823,4292
2016/7,3060,3036,3453,3823
2016/8,3810,3230,3036,3453
2016/9,4816,3740,3230,3036
2016/10,5278,4285,3740,3230
2016/11,5881,4275,4285,3740
2016/12,6120,4229,4275,4285
2017/1,3905,3205,4229,4275
2017/2,13761,5741,3205,4229
2017/3,20328,9477,5741,3205
2017/4,13502,7434,9477,5741
2017/5,10354,6934,7434,9477
2017/6,8128,6687,6934,7434
2017/7,6941,6012,6687,6934
2017/8,7870,6168,6012,6687
2017/9,9311,7129,6168,6012
2017/10,9603,6440,7129,6168
2017/11,12775,6146,6440,7129
2017/12,12641,5968,6146,6440
2018/1,9396,6958,5968,6146
2018/2,9510,4108,6958,5968
2018/3,36213,13533,4108,6958
2018/4,24784,11370,13533,4108
2018/5,17643,9100,11370,13533
2018/6,12318,8191,9100,11370
2018/7,9232,6583,8191,9100
2018/8,9999,6479,6583,8191
2018/9,11610,6390,6479,6583
2018/10,13359,7352,6390,6479
2018/11,14011,7402,7352,6390
2018/12,14135,7442,7402,7352
2019/1,10033,5552,7442,7402
2019/2,16909,4790,5552,7442
2019/3,41211,14758,4790,5552
2019/4,25980,10733,14758,4790
2019/5,16541,9092,10733,14758
2019/6,12322,8428,9092,10733
2019/7,10065,6437,8428,9092
2019/8,11419,7030,6437,8428
2019/9,13002,7363,7030,6437
2019/10,14699,7441,7363,7030
2019/11,16981,7566,7441,7363
2019/12,17046,7442,7566,7441
2020/1,7834,3955,7442,7566
2020/2,7016,2034,3955,7442
2020/3,45420,11778,2034,3955
2020/4,42666,14494,11778,2034
2020/5,29031,11272,14494,11778
2020/6,21357,11219,11272,14494
2020/7,15956,8001,11219,11272
2020/8,17872,7696,8001,11219
2020/9,22190,8867,7696,8001
2020/10,23524,8115,8867,7696
