日期,行业销量,去年同月
2010/1,9008,
2010/2,6684,
2010/3,24901,
2010/4,25334,
2010/5,18502,
2010/6,14088,
2010/7,12908,
2010/8,12637,
2010/9,14143,
2010/10,12302,
2010/11,12438,
2010/12,15020,
2011/1,13555,9008
2011/2,14736,6684
2011/3,36569,24901
2011/4,25636,25334
2011/5,20864,18502
2011/6,15872,14088
2011/7,13005,12908
2011/8,13301,12637
2011/9,14742,14143
2011/10,14194,12302
2011/11,13707,12438
2011/12,15720,15020
2012/1,5383,13555
2012/2,14682,14736
2012/3,21738,36569
2012/4,18313,25636
2012/5,12890,20864
2012/6,11642,15872
2012/7,8964,13005
2012/8,7926,13301
2012/9,8301,14742
2012/10,8324,14194
2012/11,8988,13707
2012/12,9358,15720
2013/1,6638,5383
2013/2,6168,14682
2013/3,20774,21738
2013/4,18709,18313
2013/5,15135,12890
2013/6,13025,11642
2013/7,9542,8964
2013/8,9348,7926
2013/9,10376,8301
2013/10,9949,8324
2013/11,11163,8988
2013/12,13558,9358
2014/1,6668,6638
2014/2,8947,6168
2014/3,20296,20774
2014/4,15974,18709
2014/5,12465,15135
2014/6,11383,13025
2014/7,8812,9542
2014/8,8152,9348
2014/9,7702,10376
2014/10,7597,9949
2014/11,6522,11163
2014/12,6627,13558
2015/1,4566,6668
2015/2,2821,8947
2015/3,9386,20296
2015/4,7286,15974
2015/5,5850,12465
2015/6,4980,11383
2015/7,3656,8812
2015/8,3619,8152
2015/9,3780,7702
2015/10,3588,7597
2015/11,3735,6522
2015/12,3715,6627
2016/1,2805,4566
2016/2,2526,2821
2016/3,13065,9386
2016/4,4292,7286
2016/5,3823,5850
2016/6,3453,4980
2016/7,3036,3656
2016/8,3230,3619
2016/9,3740,3780
2016/10,4285,3588
2016/11,4275,3735
2016/12,4229,3715
2017/1,3205,2805
2017/2,5741,2526
2017/3,9477,13065
2017/4,7434,4292
2017/5,6934,3823
2017/6,6687,3453
2017/7,6012,3036
2017/8,6168,3230
2017/9,7129,3740
2017/10,6440,4285
2017/11,6146,4275
2017/12,5968,4229
2018/1,6958,3205
2018/2,4108,5741
2018/3,13533,9477
2018/4,11370,7434
2018/5,9100,6934
2018/6,8191,6687
2018/7,6583,6012
2018/8,6479,6168
2018/9,6390,7129
2018/10,7352,6440
2018/11,7402,6146
2018/12,7442,5968
2019/1,5552,6958
2019/2,4790,4108
2019/3,14758,13533
2019/4,10733,11370
2019/5,9092,9100
2019/6,8428,8191
2019/7,6437,6583
2019/8,7030,6479
2019/9,7363,6390
2019/10,7441,7352
2019/11,7566,7402
2019/12,7442,7442
2020/1,3955,5552
2020/2,2034,4790
2020/3,11778,14758
2020/4,14494,10733
2020/5,11272,9092
2020/6,11219,8428
2020/7,8001,6437
2020/8,7696,7030
2020/9,8867,7363
2020/10,8115,7441
