日期,GDP,克强指数,房地产新增开工面积,房地产开发投资完成额,社融,固定资产投资完成额,原煤产量,原煤价格,铁矿石原矿产量,采矿业投资额,水泥产量,道路运输,国家铁路,日本出口
2010,412119.2558,19.0835,163646.87,48259.4,140191,241414.93,310560.2046,771.3913043,106474.0999,9676.149753,186389.77,12764.49,83846461,160824332
2011,487940.1805,11.0684,191236.8682,61796.9,128286,301932.85,344646.0311,788,131497.2799,11898.96961,205821.9457,13856.3542,58973127.7,136056412
2012,538579.9535,4.5973,177333.6174,71803.7869,157632,364835.07,335980,640,132851.7085,13298.75372,219341.2592,17134.9268,63097958,58016275
2013,592963.2295,7.7176,201207.8421,86013.3826,173168,436527.7,332100,612.9545455,143633.9996,14578.66504,240420.6257,20692.3173,68436200,31730351
2014,643563.1045,5.8311,179592.4926,95035.6144,164133,502004.9,325500,525.4347826,149774.6116,14221.7307,222504.9474,24565.8165,73874600,19615793
2015,688858.218,1.48,154453.6757,95978.8458,154062,551590.0383,365144.6,358.2608696,137409.3665,12964.47198,217685.9011,28614.1047,76817100,19225527
2016,746395.0595,7.5,166928.1283,102580.6128,178023,596500.752,282901.9776,641.3181818,113442.2644,10232.16667,216390.8422,32937.3376,76769300,20018887
2017,832035.9486,11.46,178653.7704,109798.5288,261535.8428,631683.9637,298208.3,697.5238095,113739.2693,9208.95,214994.8,40303.59,76059700,30285444
2018,919281.1291,10.08,209341.7939,120263.5146,224920.1981,635636,300357,605.1904762,66959.1,9586.51695,199419.5,43608.48438,76030000,38772747
2019,990865.1113,7.82,227153.5829,132194.2649,255752.4609,551478,319144.2,549.7272727,74028,11896.86753,211055.7,47533.24797,75110000,36703650
